product_name,category,unit_size,batch_id,production_date,total_weight_kg,in_stock_quantity,price_per_unit,cost_per_unit,operator_name,print_count,printed_by
Papad,Papad,200gm,B05602,2025-09-13,12.4,62,83.19,61.06,Ravi,232,Printer_A
Mithi Chatani,Chutney,200gm,B05603,2023-05-09,19.0,95,120.38,68.1,Ajay,257,Printer_B
Malvani Masala,Masala,100gm,B05604,2023-02-17,11.7,117,70.23,42.17,Seema,243,Printer_B
Meat Masala,Masala,50gm,B05605,2025-02-18,3.25,65,125.31,106.15,Sunil,275,Printer_B
Chatpata Masala,Masala,500gm,B05606,2025-11-18,55.5,111,45.82,34.47,Neha,123,Printer_A
Lasun Pickle,Pickle,1kg,B05607,2023-09-01,139.0,139,136.86,94.31,Neha,175,Printer_C
Haldi Powder,Masala,200gm,B05608,2024-10-15,26.0,130,84.24,63.66,Seema,174,Printer_C
Kitchen King Masala,Masala,50gm,B05609,2024-10-03,2.8,56,81.32,65.91,Priya,151,Printer_B
Karala Chatani,Chutney,200gm,B05610,2024-02-22,28.6,143,91.53,80.47,Sunil,250,Printer_A
udad dal papad,Papad,100gm,B05611,2025-04-02,11.6,116,50.98,35.77,Sunil,218,Printer_B
Malvani Masala,Masala,200gm,B05612,2023-11-12,21.0,105,109.87,87.26,Priya,251,Printer_B
Javas Chatani,Chutney,1kg,B05613,2025-08-19,86.0,86,99.53,73.6,Ajay,90,Printer_C
Garam Masala,Masala,50gm,B05614,2025-06-01,5.15,103,137.02,95.18,Priya,296,Printer_B
Maruti Mix Pickle,Pickle,200gm,B05615,2025-07-21,23.2,116,101.26,72.89,Neha,84,Printer_C
Jai Ho Mango Pickle,Pickle,100gm,B05616,2024-11-14,11.3,113,119.91,79.0,Seema,250,Printer_B
Kashmiri Mirchi Powder,Masala,1kg,B05617,2025-04-14,71.0,71,90.26,71.64,Neha,220,Printer_A
Lime Chilly Pickle,Pickle,1kg,B05618,2024-07-11,127.0,127,80.08,68.77,Neha,15,Printer_A
Green Chilly Pickle,Pickle,200gm,B05619,2024-12-22,26.0,130,64.15,49.57,Ravi,81,Printer_C
Chicken Masala,Masala,1kg,B05620,2025-12-25,97.0,97,48.13,33.06,Sunil,51,Printer_A
Karala Chatani,Chutney,1kg,B05621,2023-10-23,148.0,148,35.14,28.21,Neha,217,Printer_B
Garam Masala,Masala,1kg,B05622,2023-05-13,120.0,120,67.93,56.31,Seema,180,Printer_C
Tikhat Mirchi Powder,Masala,50gm,B05623,2025-05-16,6.8,136,53.31,38.63,Ravi,244,Printer_B
Chatpata Masala,Masala,1kg,B05624,2025-11-24,77.0,77,118.61,98.71,Neha,236,Printer_A
Misal Masala,Masala,200gm,B05625,2025-02-19,26.4,132,128.69,93.17,Sunil,293,Printer_B
Green Chilly Pickle,Pickle,1kg,B05626,2025-07-01,153.0,153,112.35,57.33,Ajay,171,Printer_A
Green Chilly Pickle,Pickle,50gm,B05627,2024-03-13,5.2,104,54.03,36.4,Ajay,254,Printer_A
Chat Masala,Masala,100gm,B05628,2025-12-02,5.8,58,142.97,106.97,Sunil,22,Printer_B
Dhana Powder,Masala,100gm,B05629,2023-06-14,16.9,169,82.48,43.1,Ajay,43,Printer_A
Mix Pickle,Pickle,200gm,B05630,2024-08-18,35.6,178,54.43,31.8,Ajay,24,Printer_A
Mango Pickle,Pickle,1kg,B05631,2024-04-19,127.0,127,86.15,54.09,Neha,295,Printer_A
Garam Masala,Masala,1kg,B05632,2023-05-08,176.0,176,137.49,76.51,Ajay,255,Printer_A
Haldi Powder,Masala,500gm,B05633,2025-03-02,30.5,61,94.49,61.23,Sunil,280,Printer_B
Mix Pickle,Pickle,50gm,B05634,2024-08-22,7.1,142,140.31,100.79,Neha,114,Printer_B
Jai Ho Mango Pickle,Pickle,1kg,B05635,2023-06-06,109.0,109,49.26,30.69,Seema,212,Printer_B
Dal Tadka Masala,Masala,500gm,B05636,2023-12-16,61.0,122,108.21,55.05,Ajay,189,Printer_C
Kitchen King Masala,Masala,100gm,B05637,2025-12-26,11.3,113,84.3,54.96,Ajay,61,Printer_A
Chatpata Masala,Masala,500gm,B05638,2024-12-05,54.5,109,96.12,51.37,Ajay,16,Printer_B
Tikha & Lal Mirchi Powder,Masala,200gm,B05639,2025-11-24,27.8,139,95.27,78.3,Priya,267,Printer_C
8+2 Mirchi Powder,Masala,1kg,B05640,2024-11-17,108.0,108,69.1,50.76,Ajay,118,Printer_B
Mango Pickle,Pickle,200gm,B05641,2024-11-21,29.2,146,123.69,87.71,Ravi,279,Printer_A
Garam Masala,Masala,50gm,B05642,2023-11-03,7.0,140,91.1,63.97,Ajay,249,Printer_C
Papad,Papad,200gm,B05643,2025-04-13,23.2,116,37.88,21.77,Ajay,277,Printer_C
Garam Masala,Masala,50gm,B05644,2023-05-12,5.85,117,61.88,54.5,Priya,233,Printer_A
Malvani Masala,Masala,200gm,B05645,2023-10-15,27.0,135,57.5,38.81,Priya,192,Printer_A
Tikha & Lal Mirchi Powder,Masala,200gm,B05646,2024-08-02,24.8,124,45.25,33.97,Neha,293,Printer_C
Garam Masala,Masala,500gm,B05647,2023-06-19,31.5,63,76.32,67.01,Priya,29,Printer_C
Meat Masala,Masala,1kg,B05648,2024-09-11,146.0,146,143.22,104.84,Ajay,188,Printer_C
Green Chilly Pickle,Pickle,1kg,B05649,2023-12-08,70.0,70,112.51,79.53,Sunil,211,Printer_A
Lime Chilly Pickle,Pickle,500gm,B05650,2024-07-28,26.5,53,88.24,58.27,Seema,195,Printer_B
Maruti Mix Pickle,Pickle,50gm,B05651,2024-01-24,5.7,114,145.03,118.55,Seema,188,Printer_A
Jai Ho Mango Pickle,Pickle,200gm,B05652,2025-10-09,13.8,69,149.79,92.08,Seema,218,Printer_B
Sweet N Hot Lemon Pickle,Pickle,1kg,B05653,2023-10-24,118.0,118,84.25,58.15,Ravi,192,Printer_A
Chunda,Pickle,1kg,B05654,2023-04-28,85.0,85,34.61,25.27,Neha,291,Printer_C
Chatpata Thecha,Thecha,500gm,B05655,2024-09-27,35.0,70,69.89,54.33,Seema,164,Printer_A
Green Chilly Pickle,Pickle,500gm,B05656,2023-10-02,36.5,73,69.91,44.73,Priya,267,Printer_B
Kashmiri Mirchi Powder,Masala,500gm,B05657,2023-12-17,62.5,125,76.61,57.53,Neha,213,Printer_B
Papad,Papad,1kg,B05658,2023-04-01,105.0,105,78.22,68.96,Seema,289,Printer_B
Meat Masala,Masala,50gm,B05659,2025-03-04,5.95,119,76.18,55.83,Ajay,61,Printer_B
Kolhapuri Jhatka,Masala,200gm,B05660,2024-06-05,33.2,166,133.51,93.65,Ajay,128,Printer_A
Garam Masala,Masala,200gm,B05661,2023-06-05,20.0,100,60.05,46.03,Ajay,266,Printer_B
Chicken Masala,Masala,100gm,B05662,2025-05-16,6.6,66,55.02,35.7,Sunil,168,Printer_B
Misal Masala,Masala,50gm,B05663,2025-01-19,6.95,139,136.52,108.04,Priya,241,Printer_A
Mango Pickle,Pickle,100gm,B05664,2025-03-25,9.2,92,113.44,81.94,Ajay,263,Printer_A
Javas Chatani,Chutney,50gm,B05665,2024-03-27,3.6,72,84.63,64.32,Ravi,139,Printer_B
Dhana Powder,Masala,500gm,B05666,2024-01-09,39.5,79,74.91,62.04,Seema,63,Printer_B
Garam Masala,Masala,200gm,B05667,2024-12-22,25.0,125,50.41,35.03,Priya,83,Printer_C
Khobra Lasun Chatani,Chutney,500gm,B05668,2025-09-24,36.5,73,110.13,94.32,Neha,141,Printer_A
Green Chilly Pickle,Pickle,1kg,B05669,2023-11-24,50.0,50,87.37,66.81,Sunil,295,Printer_A
Kolhapuri Jhatka,Masala,1kg,B05670,2024-11-05,146.0,146,77.84,64.41,Ravi,106,Printer_C
Hirva Thecha,Thecha,500gm,B05671,2023-09-11,70.0,140,97.93,60.06,Sunil,169,Printer_A
Hirva Thecha,Thecha,500gm,B05672,2023-10-16,61.5,123,111.96,75.61,Seema,71,Printer_B
Chat Masala,Masala,200gm,B05673,2023-11-14,15.4,77,133.5,88.03,Sunil,107,Printer_B
Garam Masala,Masala,100gm,B05674,2024-05-13,14.9,149,40.0,26.23,Ravi,111,Printer_A
Hirva Thecha,Thecha,500gm,B05675,2025-03-03,63.5,127,95.64,64.75,Seema,140,Printer_A
Panipuri Chatani,Chutney,200gm,B05676,2024-01-01,27.0,135,90.48,59.8,Priya,190,Printer_B
Karala Chatani,Chutney,200gm,B05677,2023-11-11,16.4,82,102.48,91.94,Ravi,215,Printer_C
Mango Pickle,Pickle,50gm,B05678,2025-12-21,5.95,119,86.23,74.18,Neha,98,Printer_C
Haldi Powder,Masala,100gm,B05679,2024-01-13,14.6,146,115.28,97.88,Seema,167,Printer_A
Green Chilly Pickle,Pickle,100gm,B05680,2025-09-16,7.2,72,138.6,112.18,Priya,63,Printer_C
Jai Ho Mango Pickle,Pickle,100gm,B05681,2024-07-15,10.5,105,129.85,81.17,Seema,89,Printer_B
Garam Masala,Masala,500gm,B05682,2025-06-10,48.5,97,42.43,28.13,Ajay,181,Printer_C
Chatpata Thecha,Thecha,50gm,B05683,2025-09-10,5.7,114,66.5,52.96,Sunil,285,Printer_B
Green Chilly Pickle,Pickle,500gm,B05684,2024-08-05,40.5,81,57.75,50.53,Neha,158,Printer_B
Murabba,Pickle,100gm,B05685,2023-03-16,14.8,148,143.7,73.63,Ajay,263,Printer_A
sabudana papad,Papad,500gm,B05686,2024-07-23,58.5,117,111.95,97.51,Sunil,12,Printer_C
Chatpata Masala,Masala,500gm,B05687,2025-06-15,28.5,57,40.33,24.87,Priya,117,Printer_A
Kanda Lasun Masala,Masala,50gm,B05688,2024-02-23,3.4,68,94.16,57.07,Sunil,115,Printer_A
Mango Pickle,Pickle,1kg,B05689,2023-05-10,66.0,66,31.07,20.4,Ravi,116,Printer_C
Green Chilly Pickle,Pickle,100gm,B05690,2023-03-21,11.4,114,99.91,54.25,Ajay,59,Printer_C
Haldi Powder,Masala,500gm,B05691,2024-04-27,25.0,50,109.51,90.87,Ravi,137,Printer_B
Garam Masala,Masala,50gm,B05692,2023-11-08,4.25,85,134.44,98.51,Ajay,197,Printer_A
Dhana Powder,Masala,200gm,B05693,2024-10-22,14.0,70,36.28,29.85,Neha,298,Printer_B
Lemon Pickle,Pickle,50gm,B05694,2024-07-09,2.85,57,119.26,76.57,Sunil,172,Printer_C
Chatpata Thecha,Thecha,50gm,B05695,2025-06-14,5.8,116,133.88,86.39,Ravi,225,Printer_A
Malvani Masala,Masala,500gm,B05696,2024-01-13,53.5,107,32.02,20.67,Ravi,82,Printer_B
Karala Chatani,Chutney,100gm,B05697,2023-05-16,13.7,137,99.62,65.54,Priya,77,Printer_A
Javas Chatani,Chutney,200gm,B05698,2023-09-18,27.4,137,113.03,68.8,Neha,84,Printer_B
Papad,Papad,50gm,B05699,2023-05-14,6.15,123,88.5,62.8,Ravi,40,Printer_C
Sunday Kala Masala,Masala,50gm,B05700,2024-11-28,6.0,120,141.97,94.79,Priya,264,Printer_C
Kanda Lasun Masala,Masala,100gm,B05701,2025-09-17,14.5,145,111.88,78.93,Ravi,298,Printer_C
Mango Pickle,Pickle,200gm,B05702,2023-11-14,11.8,59,92.76,56.86,Priya,224,Printer_B
Tikha & Lal Mirchi Powder,Masala,1kg,B05703,2023-06-03,137.0,137,138.19,89.92,Sunil,295,Printer_C
Javas Chatani,Chutney,50gm,B05704,2024-01-08,6.0,120,110.39,70.76,Ajay,110,Printer_A
Mango Pickle,Pickle,500gm,B05705,2023-12-25,68.5,137,86.89,76.31,Seema,19,Printer_A
Green Chilly Pickle,Pickle,1kg,B05706,2023-01-02,97.0,97,96.56,51.93,Ajay,210,Printer_A
Chicken Masala,Masala,50gm,B05707,2024-01-06,5.8,116,101.44,71.29,Neha,155,Printer_B
Sunday Kala Masala,Masala,200gm,B05708,2025-07-17,21.0,105,73.86,46.01,Sunil,281,Printer_C
Garam Masala,Masala,100gm,B05709,2023-07-18,7.5,75,78.02,60.69,Ravi,179,Printer_A
Garam Masala,Masala,100gm,B05710,2023-02-15,6.4,64,142.31,126.19,Priya,99,Printer_B
Kolhapuri Jhatka,Masala,50gm,B05711,2024-09-28,2.7,54,110.34,67.09,Priya,291,Printer_C
Papad,Papad,200gm,B05712,2024-10-12,15.2,76,149.21,107.45,Seema,53,Printer_C
Mix Pickle,Pickle,200gm,B05713,2024-09-15,16.8,84,97.26,83.63,Priya,39,Printer_B
Hirva Thecha,Thecha,1kg,B05714,2023-10-09,52.0,52,93.14,59.46,Sunil,120,Printer_B
Biryani Pulav Masala,Masala,1kg,B05715,2025-04-27,166.0,166,99.96,54.39,Ajay,197,Printer_C
Haldi Powder,Masala,200gm,B05716,2025-04-16,23.4,117,38.34,24.75,Ajay,16,Printer_C
Mango Pickle,Pickle,500gm,B05717,2023-09-02,47.5,95,61.39,53.81,Sunil,69,Printer_B
Chatpata Thecha,Thecha,50gm,B05718,2025-11-26,5.15,103,110.47,95.92,Seema,195,Printer_C
Sweet N Hot Lemon Pickle,Pickle,50gm,B05719,2024-03-08,2.9,58,101.64,78.34,Ravi,201,Printer_C
Biryani Pulav Masala,Masala,500gm,B05720,2024-01-02,62.0,124,91.62,71.73,Ravi,217,Printer_A
Goda Masala,Masala,1kg,B05721,2025-03-07,174.0,174,62.8,43.46,Ajay,13,Printer_B
Garam Masala,Masala,100gm,B05722,2024-01-19,8.4,84,54.85,44.62,Seema,208,Printer_C
Misal Masala,Masala,500gm,B05723,2024-11-08,40.5,81,62.0,55.52,Seema,204,Printer_A
Sunday Kala Masala,Masala,1kg,B05724,2023-03-01,63.0,63,145.97,103.45,Ravi,53,Printer_C
Mango Pickle,Pickle,1kg,B05725,2025-04-15,120.0,120,43.24,26.3,Neha,138,Printer_A
Dal Tadka Masala,Masala,50gm,B05726,2025-09-19,8.75,175,68.01,53.06,Ajay,293,Printer_A
Murabba,Pickle,50gm,B05727,2023-11-25,2.55,51,115.28,103.12,Sunil,221,Printer_B
Chatpata Thecha,Thecha,100gm,B05728,2025-05-26,9.6,96,140.71,73.79,Ajay,125,Printer_B
Murabba,Pickle,50gm,B05729,2024-11-08,4.35,87,149.94,106.91,Ajay,145,Printer_A
Malvani Masala,Masala,50gm,B05730,2023-10-26,4.35,87,37.16,26.46,Neha,279,Printer_B
Mango Pickle,Pickle,50gm,B05731,2023-06-11,4.3,86,114.57,97.99,Sunil,21,Printer_A
Sunday Kala Masala,Masala,100gm,B05732,2023-05-15,16.9,169,119.15,77.09,Ajay,157,Printer_A
Green Chilly Pickle,Pickle,1kg,B05733,2023-05-03,93.0,93,59.7,40.6,Ajay,108,Printer_A
Garam Masala,Masala,500gm,B05734,2025-09-20,71.0,142,146.15,117.57,Neha,262,Printer_C
Chatpata Thecha,Thecha,200gm,B05735,2023-06-04,22.2,111,93.5,68.7,Seema,247,Printer_C
Green Chilly Pickle,Pickle,1kg,B05736,2025-11-04,145.0,145,45.09,28.98,Ajay,293,Printer_A
Goda Masala,Masala,50gm,B05737,2024-11-04,3.4,68,35.68,23.51,Ravi,142,Printer_A
Lasun Pickle,Pickle,50gm,B05738,2023-04-26,6.45,129,76.43,46.24,Ajay,196,Printer_B
udad dal papad,Papad,500gm,B05739,2023-02-22,72.0,144,43.03,35.49,Neha,237,Printer_A
Karala Chatani,Chutney,500gm,B05740,2025-04-19,56.0,112,126.6,111.14,Neha,10,Printer_C
Biryani Pulav Masala,Masala,1kg,B05741,2024-05-11,107.0,107,69.21,47.54,Priya,287,Printer_B
Mango Pickle,Pickle,50gm,B05742,2023-04-04,6.8,136,39.5,25.09,Priya,56,Printer_B
Chicken Masala,Masala,50gm,B05743,2024-01-04,4.7,94,63.74,48.21,Seema,28,Printer_A
Goda Masala,Masala,100gm,B05744,2024-03-08,10.7,107,31.27,25.08,Neha,277,Printer_C
Kolhapuri Thecha,Thecha,50gm,B05745,2024-03-08,4.4,88,48.69,40.44,Neha,250,Printer_C
Meat Masala,Masala,500gm,B05746,2024-01-03,25.0,50,96.21,85.99,Priya,172,Printer_B
Mithi Chatani,Chutney,500gm,B05747,2025-01-28,54.5,109,68.72,51.33,Ajay,86,Printer_B
Dhana Powder,Masala,500gm,B05748,2024-03-25,53.0,106,75.44,63.78,Sunil,165,Printer_C
Sweet N Hot Lemon Pickle,Pickle,50gm,B05749,2023-04-16,4.7,94,54.27,41.4,Seema,159,Printer_C
Chicken Masala,Masala,500gm,B05750,2023-04-25,56.5,113,31.15,18.85,Priya,74,Printer_A
Papad,Papad,50gm,B05751,2025-06-10,4.0,80,57.37,37.13,Ravi,47,Printer_A
Chat Masala,Masala,1kg,B05752,2024-06-08,152.0,152,149.41,82.67,Ajay,188,Printer_A
Green Chilly Pickle,Pickle,200gm,B05753,2025-03-09,27.6,138,40.62,35.44,Neha,226,Printer_B
Chatpata Masala,Masala,50gm,B05754,2024-04-09,4.5,90,135.4,79.2,Ajay,129,Printer_A
Javas Chatani,Chutney,200gm,B05755,2025-11-01,18.6,93,94.73,71.83,Ajay,175,Printer_C
Hirva Thecha,Thecha,50gm,B05756,2023-10-07,5.5,110,53.1,30.76,Ajay,63,Printer_A
Green Chilly Pickle,Pickle,200gm,B05757,2025-06-26,13.8,69,133.9,118.05,Seema,63,Printer_C
Haldi Powder,Masala,500gm,B05758,2025-09-22,64.0,128,146.58,108.39,Ravi,257,Printer_C
Chat Masala,Masala,200gm,B05759,2024-10-02,12.2,61,35.73,23.02,Ravi,279,Printer_A
sabudana papad,Papad,200gm,B05760,2023-10-11,27.0,135,31.66,24.18,Priya,152,Printer_C
Sunday Kala Masala,Masala,200gm,B05761,2024-04-09,16.8,84,93.01,71.25,Sunil,200,Printer_C
Kolhapuri Thecha,Thecha,1kg,B05762,2024-04-25,69.0,69,85.65,54.05,Priya,27,Printer_A
Green Chilly Pickle,Pickle,1kg,B05763,2024-03-12,148.0,148,75.1,58.07,Sunil,49,Printer_C
Hirva Thecha,Thecha,500gm,B05764,2024-01-01,32.5,65,32.08,28.81,Sunil,119,Printer_B
Kanda Lasun Masala,Masala,50gm,B05765,2025-05-13,7.35,147,124.17,108.48,Priya,239,Printer_B
Green Chilly Pickle,Pickle,1kg,B05766,2024-03-01,94.0,94,48.7,27.11,Ajay,191,Printer_A
Murabba,Pickle,500gm,B05767,2025-03-03,69.5,139,144.33,102.29,Priya,238,Printer_C
Garam Masala,Masala,500gm,B05768,2025-01-07,50.5,101,33.98,25.66,Sunil,98,Printer_B
Dhana Powder,Masala,50gm,B05769,2023-09-28,6.8,136,68.03,53.28,Seema,205,Printer_A
Maruti Mango Pickle,Pickle,1kg,B05770,2025-12-20,95.0,95,140.83,117.58,Ravi,282,Printer_C
Maruti Mango Pickle,Pickle,50gm,B05771,2024-07-07,5.4,108,142.29,109.52,Ravi,72,Printer_A
Papad,Papad,50gm,B05772,2024-12-11,7.45,149,110.27,93.69,Priya,293,Printer_A
Jai Ho Mango Pickle,Pickle,100gm,B05773,2023-04-03,13.3,133,130.59,115.04,Seema,209,Printer_B
Mango Pickle,Pickle,200gm,B05774,2023-11-23,14.8,74,65.75,43.05,Sunil,275,Printer_B
Javas Chatani,Chutney,500gm,B05775,2023-06-23,82.5,165,118.6,87.59,Ajay,69,Printer_B
Goda Masala,Masala,200gm,B05776,2023-07-23,24.2,121,77.51,60.94,Ajay,83,Printer_A
Tikhat Mirchi Powder,Masala,500gm,B05777,2023-10-28,30.0,60,120.28,85.71,Seema,61,Printer_C
Khobra Lasun Chatani,Chutney,100gm,B05778,2023-09-06,11.9,119,104.72,67.68,Ravi,132,Printer_B
Kolhapuri Jhatka,Masala,200gm,B05779,2025-07-03,29.8,149,72.74,64.68,Priya,157,Printer_A
Dal Tadka Masala,Masala,200gm,B05780,2025-02-28,21.4,107,103.84,73.99,Sunil,125,Printer_C
Chatpata Thecha,Thecha,50gm,B05781,2025-05-23,4.6,92,83.9,63.84,Neha,290,Printer_B
Mango Pickle,Pickle,1kg,B05782,2023-06-22,110.0,110,118.66,85.5,Sunil,260,Printer_A
Mango Pickle,Pickle,200gm,B05783,2024-03-17,22.6,113,115.96,104.29,Sunil,60,Printer_B
Papad,Papad,50gm,B05784,2023-08-03,2.5,50,107.79,77.37,Seema,63,Printer_A
Green Chilly Pickle,Pickle,50gm,B05785,2023-09-02,5.7,114,112.97,78.82,Ravi,253,Printer_B
Garam Masala,Masala,50gm,B05786,2023-11-13,4.25,85,138.05,91.88,Neha,152,Printer_C
Kolhapuri Thecha,Thecha,200gm,B05787,2025-10-04,15.6,78,71.88,61.07,Seema,81,Printer_C
Garam Masala,Masala,100gm,B05788,2023-12-18,15.9,159,87.46,49.72,Ajay,137,Printer_C
Maruti Mango Pickle,Pickle,500gm,B05789,2023-12-25,57.0,114,135.21,87.63,Sunil,165,Printer_A
Chunda,Pickle,50gm,B05790,2023-07-17,4.25,85,102.43,90.07,Neha,297,Printer_B
Papad,Papad,100gm,B05791,2024-09-04,9.7,97,70.22,49.21,Seema,67,Printer_B
Hirva Thecha,Thecha,1kg,B05792,2023-02-21,146.0,146,113.85,73.85,Ravi,13,Printer_C
sabudana papad,Papad,1kg,B05793,2023-07-12,130.0,130,64.68,53.14,Ravi,128,Printer_A
Karala Chatani,Chutney,1kg,B05794,2024-04-20,138.0,138,57.98,47.96,Priya,136,Printer_C
Haldi Powder,Masala,500gm,B05795,2025-04-21,52.0,104,88.21,61.81,Ajay,128,Printer_C
Garam Masala,Masala,100gm,B05796,2023-07-22,5.9,59,36.07,31.3,Seema,146,Printer_B
Garam Masala,Masala,200gm,B05797,2024-05-15,13.4,67,147.72,89.52,Neha,17,Printer_A
Chatpata Masala,Masala,100gm,B05798,2024-05-17,9.1,91,147.15,95.12,Ajay,114,Printer_B
Lemon Pickle,Pickle,50gm,B05799,2025-02-17,7.35,147,106.67,70.11,Ravi,294,Printer_A
Lime Chilly Pickle,Pickle,100gm,B05800,2025-12-02,13.6,136,113.9,86.29,Sunil,79,Printer_C
Khobra Lasun Chatani,Chutney,200gm,B05801,2024-07-18,11.6,58,33.98,23.12,Sunil,184,Printer_C
Mango Pickle,Pickle,200gm,B05802,2023-07-12,34.4,172,39.19,27.89,Ajay,160,Printer_A
Chatpata Masala,Masala,100gm,B05803,2023-10-15,8.7,87,33.75,21.79,Sunil,205,Printer_B
Biryani Pulav Masala,Masala,500gm,B05804,2023-09-22,31.5,63,148.63,90.17,Sunil,119,Printer_A
Goda Masala,Masala,1kg,B05805,2023-10-23,120.0,120,97.71,65.3,Ravi,63,Printer_C
Chatpata Masala,Masala,100gm,B05806,2023-09-16,11.5,115,84.08,52.43,Seema,68,Printer_A
Kolhapuri Jhatka,Masala,50gm,B05807,2023-07-20,3.1,62,46.54,37.3,Ravi,248,Printer_A
Jai Ho Mango Pickle,Pickle,100gm,B05808,2024-08-21,7.9,79,121.82,94.94,Seema,222,Printer_A
Hirva Thecha,Thecha,1kg,B05809,2023-11-01,72.0,72,77.81,54.13,Seema,199,Printer_C
Garam Masala,Masala,500gm,B05810,2023-11-13,36.0,72,35.91,23.02,Seema,148,Printer_B
udad dal papad,Papad,200gm,B05811,2023-05-18,10.0,50,131.17,79.12,Seema,254,Printer_A
Garam Masala,Masala,200gm,B05812,2023-10-11,16.6,83,117.09,77.78,Sunil,22,Printer_B
Sweet N Hot Lemon Pickle,Pickle,100gm,B05813,2024-11-15,10.0,100,78.2,51.3,Priya,71,Printer_A
Kanda Lasun Masala,Masala,500gm,B05814,2023-12-24,65.5,131,124.87,85.42,Sunil,186,Printer_B
Lemon Pickle,Pickle,1kg,B05815,2023-11-11,128.0,128,107.3,77.18,Sunil,174,Printer_A
Karala Chatani,Chutney,1kg,B05816,2023-08-25,68.0,68,116.44,98.86,Sunil,222,Printer_C
Panipuri Chatani,Chutney,200gm,B05817,2024-05-11,10.6,53,113.2,91.94,Neha,238,Printer_C
Green Chilly Pickle,Pickle,1kg,B05818,2023-11-15,145.0,145,31.61,26.96,Seema,104,Printer_A
udad dal papad,Papad,200gm,B05819,2023-12-21,30.8,154,138.3,103.55,Ajay,53,Printer_B
Karala Chatani,Chutney,200gm,B05820,2024-07-09,25.0,125,33.91,24.15,Ravi,99,Printer_A
Garam Masala,Masala,500gm,B05821,2025-07-11,35.0,70,47.95,40.65,Priya,134,Printer_A
Karala Chatani,Chutney,50gm,B05822,2023-04-09,5.1,102,47.33,36.25,Neha,50,Printer_B
Panipuri Chatani,Chutney,200gm,B05823,2025-09-02,18.4,92,57.96,35.92,Ajay,255,Printer_A
Lime Chilly Pickle,Pickle,200gm,B05824,2024-12-12,18.8,94,88.54,58.87,Seema,141,Printer_A
udad dal papad,Papad,50gm,B05825,2023-12-02,5.8,116,48.35,41.26,Ravi,221,Printer_B
Mithi Chatani,Chutney,200gm,B05826,2025-07-17,24.6,123,108.34,72.55,Sunil,161,Printer_C
udad dal papad,Papad,500gm,B05827,2024-03-14,53.5,107,118.07,80.92,Ravi,292,Printer_C
Murabba,Pickle,200gm,B05828,2024-06-11,23.4,117,67.2,48.68,Ajay,40,Printer_A
udad dal papad,Papad,1kg,B05829,2023-10-20,80.0,80,35.99,24.0,Ajay,50,Printer_A
sabudana papad,Papad,50gm,B05830,2023-10-04,7.15,143,113.04,93.36,Sunil,206,Printer_B
Garam Masala,Masala,200gm,B05831,2023-08-04,26.8,134,35.22,21.84,Ajay,178,Printer_C
Kanda Lasun Masala,Masala,100gm,B05832,2023-05-01,12.1,121,72.68,43.36,Ajay,46,Printer_B
Kolhapuri Jhatka,Masala,500gm,B05833,2025-04-26,81.0,162,105.16,66.63,Ajay,208,Printer_A
Hirva Thecha,Thecha,50gm,B05834,2025-01-08,4.4,88,142.21,109.44,Sunil,90,Printer_C
Kolhapuri Jhatka,Masala,1kg,B05835,2024-06-02,125.0,125,39.19,31.32,Seema,167,Printer_B
Goda Masala,Masala,1kg,B05836,2024-12-09,127.0,127,85.27,43.68,Ajay,224,Printer_B
Kitchen King Masala,Masala,1kg,B05837,2025-12-06,136.0,136,38.04,32.72,Seema,167,Printer_A
Javas Chatani,Chutney,1kg,B05838,2023-03-25,121.0,121,37.24,31.25,Ravi,55,Printer_A
Panipuri Chatani,Chutney,100gm,B05839,2024-12-22,7.7,77,144.85,125.96,Priya,262,Printer_C
Chunda,Pickle,100gm,B05840,2025-07-23,13.1,131,113.5,76.51,Ajay,57,Printer_C
Mithi Chatani,Chutney,200gm,B05841,2025-12-19,17.4,87,101.66,74.95,Neha,20,Printer_A
Lime Chilly Pickle,Pickle,200gm,B05842,2024-05-25,18.0,90,69.09,61.34,Neha,140,Printer_B
Malvani Masala,Masala,1kg,B05843,2023-09-10,116.0,116,82.57,58.43,Priya,267,Printer_B
Lemon Pickle,Pickle,500gm,B05844,2023-07-22,40.5,81,149.25,111.62,Priya,254,Printer_B
Chatpata Thecha,Thecha,1kg,B05845,2024-12-15,107.0,107,90.1,59.31,Priya,174,Printer_A
Misal Masala,Masala,100gm,B05846,2024-02-04,6.7,67,133.97,81.26,Neha,242,Printer_A
Chat Masala,Masala,1kg,B05847,2025-07-15,121.0,121,140.35,99.77,Ajay,244,Printer_B
Chat Masala,Masala,500gm,B05848,2023-10-03,44.5,89,128.1,91.04,Priya,107,Printer_B
Garam Masala,Masala,200gm,B05849,2023-05-22,14.4,72,124.73,102.92,Priya,117,Printer_A
Mango Pickle,Pickle,1kg,B05850,2024-11-28,139.0,139,137.79,108.71,Ravi,191,Printer_B
Maruti Mango Pickle,Pickle,500gm,B05851,2024-08-01,65.0,130,139.19,116.54,Priya,233,Printer_C
Jai Ho Mango Pickle,Pickle,1kg,B05852,2025-10-14,89.0,89,39.15,27.24,Ajay,165,Printer_B
Jai Ho Mango Pickle,Pickle,500gm,B05853,2024-12-04,61.5,123,91.03,56.87,Seema,191,Printer_B
